date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:17	5957/5957	---M--	200	added ('OK')	text/css	etag:%2251419f4-1745-55017750fe880%22	https://template.gridbootstrap.com/eventup/css/responsive.css	D:/Work/ipact/template.gridbootstrap.com/eventup/css/responsive.css	(from https://template.gridbootstrap.com/eventup/)
13:14:17	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225141a0b-47e-54f75ae348a00%22	https://template.gridbootstrap.com/eventup/images/ico/favicon.ico	D:/Work/ipact/template.gridbootstrap.com/eventup/images/ico/favicon.ico	(from https://template.gridbootstrap.com/eventup/)
13:14:18	360/360	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Dec%202017%2007:44:19%20GMT	https://template.gridbootstrap.com/images/ico/apple-touch-icon-precomposed.png	D:/Work/ipact/template.gridbootstrap.com/images/ico/apple-touch-icon-precomposed.png	(from https://template.gridbootstrap.com/eventup/)
13:14:18	364/364	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Dec%202017%2007:44:19%20GMT	https://template.gridbootstrap.com/images/ico/apple-touch-icon-114-precomposed.png	D:/Work/ipact/template.gridbootstrap.com/images/ico/apple-touch-icon-114-precomposed.png	(from https://template.gridbootstrap.com/eventup/)
13:14:19	363/363	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Dec%202017%2007:44:20%20GMT	https://template.gridbootstrap.com/images/ico/apple-touch-icon-72-precomposed.png	D:/Work/ipact/template.gridbootstrap.com/images/ico/apple-touch-icon-72-precomposed.png	(from https://template.gridbootstrap.com/eventup/)
13:14:19	363/363	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Dec%202017%2007:44:20%20GMT	https://template.gridbootstrap.com/images/ico/apple-touch-icon-57-precomposed.png	D:/Work/ipact/template.gridbootstrap.com/images/ico/apple-touch-icon-57-precomposed.png	(from https://template.gridbootstrap.com/eventup/)
13:14:20	3693/3693	---M--	200	added ('OK')	image/png	etag:%225141a21-e6d-55081cd01be00%22	https://template.gridbootstrap.com/eventup/images/logo.png	D:/Work/ipact/template.gridbootstrap.com/eventup/images/logo.png	(from https://template.gridbootstrap.com/eventup/)
13:14:20	43590/43590	---M--	200	added ('OK')	text/html	etag:%225141a91-aa46-55e53ea171459%22	https://template.gridbootstrap.com/eventup/index.html	D:/Work/ipact/template.gridbootstrap.com/eventup/index-2.html	(from https://template.gridbootstrap.com/eventup/)
13:14:20	16501/16501	---M--	200	added ('OK')	text/html	etag:%225141a03-4075-55e55459aa737%22	https://template.gridbootstrap.com/eventup/about.html	D:/Work/ipact/template.gridbootstrap.com/eventup/about.html	(from https://template.gridbootstrap.com/eventup/)
13:14:21	16835/16835	---M--	200	added ('OK')	text/html	etag:%2251419f9-41c3-55e55423599bf%22	https://template.gridbootstrap.com/eventup/speaker.html	D:/Work/ipact/template.gridbootstrap.com/eventup/speaker.html	(from https://template.gridbootstrap.com/eventup/)
13:14:21	30866/30866	---M--	200	added ('OK')	text/html	etag:%225141a4b-7892-55e5542c922c5%22	https://template.gridbootstrap.com/eventup/schedule.html	D:/Work/ipact/template.gridbootstrap.com/eventup/schedule.html	(from https://template.gridbootstrap.com/eventup/)
13:14:21	12943/12943	---M--	200	added ('OK')	text/html	etag:%2251419e2-328f-55e5540d5ebb6%22	https://template.gridbootstrap.com/eventup/blog.html	D:/Work/ipact/template.gridbootstrap.com/eventup/blog.html	(from https://template.gridbootstrap.com/eventup/)
13:14:21	15572/15572	---M--	200	added ('OK')	text/html	etag:%2251419e3-3cd4-55e5543da18bb%22	https://template.gridbootstrap.com/eventup/photo-gallery.html	D:/Work/ipact/template.gridbootstrap.com/eventup/photo-gallery.html	(from https://template.gridbootstrap.com/eventup/)
13:14:22	7113/7113	---M--	200	added ('OK')	text/html	etag:%225141a4c-1bc9-55e553db9d996%22	https://template.gridbootstrap.com/eventup/contact.html	D:/Work/ipact/template.gridbootstrap.com/eventup/contact.html	(from https://template.gridbootstrap.com/eventup/)
13:14:22	10071/10071	---M--	200	added ('OK')	text/html	etag:%2251419ed-2757-55e554347956d%22	https://template.gridbootstrap.com/eventup/pricing.html	D:/Work/ipact/template.gridbootstrap.com/eventup/pricing.html	(from https://template.gridbootstrap.com/eventup/)
13:14:22	7648/7648	---M--	200	added ('OK')	text/html	etag:%2251419e5-1de0-55e55418b6fd6%22	https://template.gridbootstrap.com/eventup/video-gallery.html	D:/Work/ipact/template.gridbootstrap.com/eventup/video-gallery.html	(from https://template.gridbootstrap.com/eventup/)
13:14:23	15568/15568	---M--	200	added ('OK')	text/html	etag:%225141a04-3cd0-55e55451c9e06%22	https://template.gridbootstrap.com/eventup/blog-details.html	D:/Work/ipact/template.gridbootstrap.com/eventup/blog-details.html	(from https://template.gridbootstrap.com/eventup/)
13:14:23	5774/5774	---M--	200	added ('OK')	text/html	etag:%225141a05-168e-55e554628c971%22	https://template.gridbootstrap.com/eventup/404.html	D:/Work/ipact/template.gridbootstrap.com/eventup/404.html	(from https://template.gridbootstrap.com/eventup/)
13:14:25	138894/138894	---M--	200	added ('OK')	image/jpeg	etag:%225141a23-21e8e-55083a4994800%22	https://template.gridbootstrap.com/eventup/images/speaker/1.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/speaker/1.jpg	(from https://template.gridbootstrap.com/eventup/)
13:14:25	126968/126968	---M--	200	added ('OK')	image/jpeg	etag:%225141a2b-1eff8-55083927a9c00%22	https://template.gridbootstrap.com/eventup/images/speaker/3.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/speaker/3.jpg	(from https://template.gridbootstrap.com/eventup/)
13:14:25	137425/137425	---M--	200	added ('OK')	image/jpeg	etag:%225141a29-218d1-55083e3013bc0%22	https://template.gridbootstrap.com/eventup/images/speaker/2.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/speaker/2.jpg	(from https://template.gridbootstrap.com/eventup/)
13:14:26	137775/137775	---M--	200	added ('OK')	image/jpeg	etag:%225141a26-21a2f-550838cc1c400%22	https://template.gridbootstrap.com/eventup/images/speaker/5.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/speaker/5.jpg	(from https://template.gridbootstrap.com/eventup/)
13:14:26	114497/114497	---M--	200	added ('OK')	image/jpeg	etag:%225141a25-1bf41-55083963be9c0%22	https://template.gridbootstrap.com/eventup/images/speaker/7.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/speaker/7.jpg	(from https://template.gridbootstrap.com/eventup/)
13:14:27	18479/18479	---M--	200	added ('OK')	image/png	etag:%225141a44-482f-54f921bd02a80%22	https://template.gridbootstrap.com/eventup/images/others/author.png	D:/Work/ipact/template.gridbootstrap.com/eventup/images/others/author.png	(from https://template.gridbootstrap.com/eventup/)
13:14:27	113176/113176	---M--	200	added ('OK')	image/jpeg	etag:%225141a27-1ba18-55083bd837480%22	https://template.gridbootstrap.com/eventup/images/speaker/4.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/speaker/4.jpg	(from https://template.gridbootstrap.com/eventup/)
13:14:27	8274/8274	---M--	200	added ('OK')	image/png	etag:%225141a46-2052-54f5849987d80%22	https://template.gridbootstrap.com/eventup/images/others/author1.png	D:/Work/ipact/template.gridbootstrap.com/eventup/images/others/author1.png	(from https://template.gridbootstrap.com/eventup/)
13:14:27	109632/109632	---M--	200	added ('OK')	image/jpeg	etag:%225141a24-1ac40-55083e0ae2400%22	https://template.gridbootstrap.com/eventup/images/speaker/8.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/speaker/8.jpg	(from https://template.gridbootstrap.com/eventup/)
13:14:27	172368/172368	---M--	200	added ('OK')	image/jpeg	etag:%225141a28-2a150-55083af16d400%22	https://template.gridbootstrap.com/eventup/images/speaker/6.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/speaker/6.jpg	(from https://template.gridbootstrap.com/eventup/)
13:14:28	10013/10013	---M--	200	added ('OK')	image/png	etag:%225141a3d-271d-54f584a4f9880%22	https://template.gridbootstrap.com/eventup/images/others/author2.png	D:/Work/ipact/template.gridbootstrap.com/eventup/images/others/author2.png	(from https://template.gridbootstrap.com/eventup/)
